epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,986.684,1.4032,0.89764,0.90689,0.79107,0.67683,0.7349,0.52961,1.40691,0.86224,0.92413,0.000320225,0.000320225,0.000320225
94,996.868,1.39663,0.88443,0.9083,0.80029,0.68835,0.74648,0.5475,1.3658,0.84285,0.91648,0.000317314,0.000317314,0.000317314
95,1007.15,1.389,0.87899,0.9051,0.8194,0.67854,0.73777,0.53465,1.37652,0.84123,0.91956,0.000314404,0.000314404,0.000314404
96,1017.01,1.39856,0.89081,0.90708,0.81359,0.68885,0.74836,0.54901,1.37905,0.85167,0.91953,0.000311493,0.000311493,0.000311493
97,1027.15,1.41941,0.89591,0.91245,0.77474,0.6783,0.73654,0.54038,1.38732,0.85446,0.92069,0.000308582,0.000308582,0.000308582
98,1037.29,1.41777,0.89252,0.90991,0.80917,0.65586,0.73634,0.5226,1.41704,0.86405,0.92794,0.000305672,0.000305672,0.000305672
99,1047.47,1.41711,0.89039,0.90916,0.80441,0.70404,0.75603,0.54584,1.38035,0.8321,0.91943,0.000302761,0.000302761,0.000302761
100,1057.74,1.39827,0.88369,0.90539,0.80867,0.709,0.75826,0.55855,1.3613,0.82294,0.91614,0.000299851,0.000299851,0.000299851
101,1067.87,1.37363,0.86716,0.90258,0.81554,0.69017,0.75047,0.54781,1.36411,0.82925,0.91671,0.00029694,0.00029694,0.00029694
102,1078.06,1.37417,0.86861,0.90189,0.78974,0.69764,0.74831,0.54777,1.37121,0.83832,0.91793,0.000294029,0.000294029,0.000294029
103,1088.51,1.39143,0.87271,0.9057,0.81786,0.68756,0.75373,0.53944,1.37248,0.83526,0.91761,0.000291119,0.000291119,0.000291119
104,1098.84,1.38749,0.88061,0.90203,0.80625,0.69937,0.7473,0.54556,1.35549,0.81873,0.91415,0.000288208,0.000288208,0.000288208
105,1109.04,1.37367,0.86929,0.90881,0.83543,0.68556,0.75664,0.55257,1.36962,0.82801,0.91616,0.000285298,0.000285298,0.000285298
106,1119.53,1.39202,0.87921,0.90488,0.78413,0.69532,0.74323,0.5278,1.40031,0.84676,0.92082,0.000282387,0.000282387,0.000282387
107,1129.28,1.36301,0.85769,0.90043,0.83408,0.71107,0.77036,0.56805,1.34272,0.80403,0.91052,0.000279476,0.000279476,0.000279476
108,1139.28,1.37767,0.85891,0.90725,0.81062,0.69904,0.76098,0.56648,1.35982,0.82089,0.91644,0.000276566,0.000276566,0.000276566
